Unnamed: 0,sentence,labels
1569,"I have a current life insurance policy and I have a credit card but my credit card expired and choice shoot a new one and I haven't updated you for oh, okay.",irrelevant
1570,"Or environmental problems, some red on issues, you know, drainage issues. So they will ask you to do a further search on a property. For us to know more to get more information. Okay?",irrelevant
1571,I didn't use the policy.,irrelevant
1572,I will ask to get in touch with you.,irrelevant
1573,"Hi, Kimberly. This is Kris calling from Moo thing.",call opening greeting
1574,Please hold while I confirm your exact mailing address.,call hold/did rep ask the exact customer address?
1575,"All right? Yep. Um yeah, the animal play maxim for Ah, comprehensively. Naturally, people are $15,000 for the 80% level of cover.",irrelevant
1576,We can handle a transaction. We can take any transaction. We can do this for you.,irrelevant
1577,"""The phone voice mail service 407868728408",irrelevant
1578,"Quickly, could you tell me your name and home address?",did rep ask for the spelling of customer name?/did rep ask the exact customer address?
1579,"And obviously giving you our quote number. So if you'd like to purchase that policy, just give us a callback on this number. And How and someone else will know is much as she known. You asked me. Yes. Okay. Mh. Alright. Sorry looks... Number. Yeah. 94025204 Correct. Course. Okay.",irrelevant
1580,"Yes, but then if I got to the peace of mind and I was more than I only get 60%. I'm not sure that I understand that. Well, you talked about what? It's a difference between accident plus rooted peace of mind. Was there anything in between that?",irrelevant
1581,My name is. I'm calling from Mu.,call opening greeting
1582,"Did it double three, 51 Okay. Okay.",irrelevant
1583,Perfect. I'll give you a call around three then.,irrelevant
1584,"I need to verify your birthdate and your complete address, including the postal code.",did the rep ask for date of birth?/did rep ask the exact customer address?/secondary contact numbers
1585,So it's a lot quicker and then you got my email address name is G sopan. @hotmail said that's great.,irrelevant
1586,It's actually w h i t a u in UI.,irrelevant
1587,"Hi, Rub rebecca. My name is. I'm calling from Mo saying, you request quotation purchase of a property, how things working out in the?",call opening greeting
1588,Do id vacations to that money laundering checks.,irrelevant
1589,Yes. Can I speak to my new address?,irrelevant
1590,Some of this world involved collecting personal information.,irrelevant
1591,"Now I just want to ask you again, I'm not sure if I did this.",irrelevant
1592,I need to verify your personal information including your birth date and contact number.,did rep ask the exact customer address?/secondary contact numbers
1593,"Yep. Running short a few a few cents. No. No, I mean it looks like we did charge the premium on the 29th of November.",irrelevant
1594,"Okay, Carry. Let me just I just need to capture a couple of details regarding your mom's passing and then we'll arrange to send you a claim see if the completion site. Let me just this is for Beatrice. Is that right?",irrelevant
1595,"Yeah, and that's actually the process. If this is entirely new breed, um, we just have to put the closest that I guess we can find the door minute.",irrelevant
1596,Please confirm your personal information including your birth date and contact number.,did the rep ask for date of birth?/did rep ask the exact customer address?/secondary contact numbers
1597,"Because when I booked the flight, I spoke with that a flight ten to that...",irrelevant
1598,Okay. Where did you travel?,irrelevant
1599,Please confirm your address so I can place you on hold.,call hold/did rep ask the exact customer address?
1600,The representative asked for your name's correct spelling after giving a general advice warning.,general advice warning/did rep ask for the spelling of customer name?
1601,And okay. What's the name of your second line? Thank you. And what?,irrelevant
1602,"So I Yeah, I don't know if the, um the breeder that sending the pet what? Having a short Oh, I know. They said to all the mother on insurance, and I met a lot about you, too. Yeah.",irrelevant
1603,I will place you on hold during we also need your home address,call hold/did rep ask the exact customer address?
1604,I it?,irrelevant
1605,"Just give me a moment. Alright. Just to confirm again, you're taking out the silver level for cover. Mh. Region is worldwide excluding the Americas. So coming from the twelfth of June to the ninth of July, we are including cover natural disaster. No. Just about to proceed to medical screening. I do have to read out a statement to you. Okay.",was policy description read out?
1606,"Hi, mister Ralph. Thank you so much for being line.",call hold
1607,90190 014-9890 doesn't come up.,irrelevant
1608,"So the balance you can pay at the. I would really appreciate if you could give me My direct number is 02081244093 The number again... 8124 full. Thanks. By.""",irrelevant
1609,No problem. Take care. Care. Bye.,call closing greeting
1610,"Now just before I proceed, I'm gonna confirm everything again. So.  Mh. You you're just traveling for yourself from worldwide including the Americas from the twenty seventh of July to the second of September, traveling on a gold level policy.  You have kept a standard access not including covers for natural disaster, anything like that.",was policy cover confirmation asked and confirmed?
